entity_type,original_id,duplicate_id,variation_type,field_name
Address,c8a70639-eb11-47b3-a7a9-c3787c65c1e5,409a71dc-7808-4048-aa4f-1d1088fc5e79,omission,postalCode
Address,d3290a4c-b5d3-4b16-a619-4cb1d71037d1,271727b6-91fc-4a38-b1f9-8f5b0d2b27f2,omission,postalCode
Address,9cdeb3e6-0870-415c-afcd-81b5d24bace4,8876d039-8f1b-4334-906f-39a4c465ac57,omission,postalCode
Address,971c702d-5bf4-4c04-ac64-2b4c49b25ded,8830c5ae-e4f1-49fc-8b3a-12e0be6e36c2,omission,postalCode
Address,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,069d97d1-b527-4a59-ac94-abddbc48e2a2,omission,postalCode
Address,4745dd9e-2789-4389-9f32-77fd1d77ce40,b7a71b42-b1b6-4b18-810b-a18ab2a3b789,omission,postalCode
Address,15ace7a1-ceca-4ee3-90da-8a9516408169,4bfb3f76-a055-4ecc-b922-0bd8fb9f5f2f,omission,postalCode
Address,d3b564b0-8be0-4c3e-9c94-938160c6b3ed,d1cd4b5d-03e0-4a0d-8d0d-a405b8b8244b,omission,postalCode
Address,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20,5e762dd5-0e45-4f18-bf87-cf930003c648,omission,postalCode
Address,e38690e7-e27a-48e9-91c3-d1bcc6be6432,5a557479-65d5-4584-8269-704351696bea,omission,postalCode
Address,24aeba79-e4b8-4987-98ba-0f0e120d7126,6a123eab-b713-4365-abcf-260479533414,omission,postalCode
Address,c13e66af-3c95-40d3-be2a-ad3e82221345,3ea7b142-18a8-4030-8195-6ec30ee50e4b,omission,postalCode
Address,47b3df41-67c2-4355-8312-1af68b32992a,a53bb278-4070-4335-8689-cb23ffa7fda5,omission,postalCode
Address,641659c0-78b6-4daf-9afb-9565068a3c38,3bbe3c7e-5056-4c53-9241-93c6e3a28595,omission,postalCode
Address,6d62e40c-638d-421a-bbc5-9e92ca1209ad,1212ae1c-5ff6-46bb-a72c-9b398138ed35,omission,postalCode
Address,56525ce0-3725-4d0c-b9c4-5c38b440ffe0,8b918533-270d-4de3-9174-e83cda19b01d,omission,postalCode
Address,4053b188-339d-48f5-9658-b1b33012ae1c,2321ae68-d5ab-4751-8928-b0caedb3e642,omission,postalCode
