identifier,healthcareOrganizationName,address,contactPoint,anchor
b8df1f65-ecdf-46e4-8445-2b983ea502b4,Faulkner-Howard Zorg,05fcc5dc-ee18-4ebd-b40c-a1303c014350,b8f7cb23-cf28-46fe-bc7e-07fd6e6d1a32,71545a13-7a1d-4006-8d72-3104f77383c1
3b372444-f99d-466e-93dc-30851c7b12d6,"Garrett, Salazar and Clayton Tervisekeskus",048509cf-5f2d-4d9e-8cbc-032af8d33753,92e07297-fb78-4970-b45b-5ae510ad74ca,6288e1a5-cc45-4821-98a6-416d1775336d
37a083ea-29a6-47ee-839c-be026de4a0d2,"Green, Jones and Shelton Tervisekeskus",68d6c188-6410-4356-b32f-1eb9e2426ad9,88bdcb68-957b-4116-a0b5-14cea7d5b522,5f3f5638-3870-4a14-b490-b6081dfc8352
66261c8d-4b65-4666-a289-c208d15f7834,"Nash, Anderson and Collins Zorg",67b33c39-6181-4c3f-b23c-f9a6cdb391b4,5ece5dff-e4dc-4729-8595-1f9eab0971dc,870f084c-7244-4536-a85e-25b4b3969057
66644324-222e-424a-8338-4d90eb58057f,Lopez-Key Gesundheitszentrum,6c950d7a-a923-4543-a920-d0e751a82367,b56d845f-f17c-496f-bcdf-8e2f68f99290,ccc14d51-73f6-40d8-a9f4-1cc04653a560
f6026083-3f9f-4e38-9080-50da4805e698,Williams and Sons Gesundheitszentrum,8cd37847-59b3-4ddb-8ef5-3e2680b6cc02,8234d553-5a9a-46d8-8857-70be5385e747,fb5eb866-2640-411e-a9f2-c3c74505f4f6
1f358fdc-08a5-44fc-a69a-4f60547273a5,Brady Inc Tervisekeskus,ce3bf21a-8cfc-49e4-a74b-b5a7faeed6ab,e9ea1794-f2e7-4ac8-8f97-174bf227e645,f2ad985f-ff3e-4ba1-8ac7-28b4a41865bf
e96d2ebc-5fba-4b00-8a4e-058d2189f4a3,Garcia PLC Gesundheitszentrum,c0a4d26a-05db-488b-bdd1-9e9442e3e3e2,5c7217f1-33bb-4709-b2d8-21eec391bdc5,c2472fd6-03e9-4a02-8cea-2df00a66dc4e
b1e9ef75-a613-4a7f-a121-6063c68e8b38,Santana-Shaw Zorg,6f4d1694-92c0-4b93-b823-14e105dc9a4b,7d44b8ec-76ff-4f3d-8e6b-9761bc510a68,f164f9d8-4312-4ce2-9c21-51e17e56ac3d
3623cb1d-cb85-4329-9ea3-cb1b19959985,"Chan, Hale and Fisher Zorg",b26c3dc2-3ec1-4b7d-8f48-81afe2f5da18,83e83357-ff02-4114-a825-705144c9500f,586f1721-0785-48d7-b118-2d235bf80676
7cd9b2eb-ec20-4797-b5c7-48d9f9d1ba7c,Smith Ltd Gesundheitszentrum,ab570f13-1d62-4ef3-8a64-256d09431ddd,1a516ddf-3f12-4f8d-a795-56745b54e0c6,4ec985ff-94b2-4b9d-8881-9f421a42b629
f9d5eb50-6ea0-41dc-a25c-8aa31b5d31f5,Carter Group Tervisekeskus,fb7d7b06-a648-4450-81a9-e23d4fe26b58,f5469bad-8768-4725-8aef-6a48a193a87c,788c161e-f3cc-4d8a-8b16-78e45f20f406
b2c50ee4-1a2b-403a-8d50-0bfcc4a5acd2,"Riggs, Martinez and Stephenson Zorg",b9712f8b-97cb-4fe3-b6f1-9c4f33b5c0af,0e5c0dd0-79a2-4553-b728-d365d29cd954,48622a67-4a29-4067-9c66-a27b6a325333
1d7c135a-d9bb-46a5-aec8-fc8647863c22,Mathis Inc Tervisekeskus,6be8bb8b-aacc-481b-8c8f-9e3f75b6c79c,0caf54f9-eb32-4f7a-b585-6a6dec6eefeb,862f78e1-25c2-4b6a-b575-bc6eeee84bcb
c95aaeaf-c463-41e1-b384-4cec73d0ec87,Price-Robinson Zorg,b7f78787-b75b-4704-a613-a382a2464052,51ce45da-bf03-4252-a7e6-96c6eed5fd87,f46860a2-a604-45af-b4db-1c1eaa66b464
1f828eb0-4bbe-4006-a061-dd137c10d1a7,Williams-Williams Zorg,2e8ce167-aebc-4c85-ad17-4ef0677fa48c,f5df5ba7-7105-4b2d-8748-0fa0420ba466,0b5aafef-85a1-482a-8761-585b4168705a
1b24b7d8-ea3b-48ac-85c5-8d4d3c8b31ed,"Daniel, Turner and Black Tervisekeskus",c4dfe21e-36c2-47bf-9fde-14be40f2ed80,e03439c1-108f-4aed-89a9-63696aa29b20,3fee2fc7-2e2d-4fdf-b57b-8a920a12f3b3
08db9e9b-688e-4462-a134-185264d75a78,"Lam, Bishop and Mccormick Zorg",596a18c7-d694-4a25-b8a7-daaca052940e,ea85e954-8e11-4c3f-be8b-2d8dedf42084,1e454241-45c1-40a8-a52b-a0ce627b585f
2b6607f3-982d-4636-b598-e3e7ef388dd0,Smith Ltd Gesundheitszentrum,3efaf019-e6e7-4a47-a5d0-be9cee612c2e,fdfee2a3-8ca0-43bc-bc62-8aa2ef3bf228,839137a6-a977-4b71-9e6d-2d7e9f312acb
c51adee9-5c2a-4b1b-95f7-d415a336b949,Newton Ltd Gesundheitszentrum,d664cb30-9d59-4532-836f-a9baaf8f38e7,e63cb27a-ef53-4c3d-bc20-0abec2bf9683,f1c58f44-7e08-4c1b-8da6-a326451437d6
9075ee19-567d-43b4-aad4-28a01b640fe5,"Arnold, Villa and Johnson Tervisekeskus",a098f9f4-44ef-4000-9e3f-f7826eda5c62,4ceab3fb-487a-4a55-8be3-aba31b57c5e8,909b471c-0d1f-4a7f-90fc-e92295be263b
42d8cc2b-905b-482d-b2e3-43af1fe6976a,Lee-Patton Gesundheitszentrum,a20cc485-66a1-4ee9-8815-aa7cf5314b56,19be1094-0747-421d-9bbd-336c630ed342,ce8c037e-e51c-4cdb-8247-34dfdd1f8e30
d60be26d-fe76-4f9f-9d9e-097541d46013,Long-Martinez Tervisekeskus,0c67aa69-7725-4314-abd1-b53a041893e9,34001ee0-74a8-4a64-9aeb-6b10d417b014,53f3c158-42ce-41c0-8cd9-f2af339c5a75
f0359c81-e4fe-47e1-b15b-20410693f716,Johnson PLC Gesundheitszentrum,43753e02-3a67-4cb3-8e27-9d5b034870ca,e78a32ac-8995-4f4c-8366-5056ffdae34e,2ebed37d-05d1-46b6-acee-c38d511fcda9
8132a2ed-209c-4903-8169-bbc74aea3fdd,Buck-Burke Zorg,de99a5d8-13cd-42cd-a929-c4edfe99949b,20540370-2e0a-4e79-858a-bcdbd556ef4c,59cd012a-06b4-4b6f-9f94-e3c818a77594
9242d0ff-0aba-4426-b129-33fed425fe83,Gibbs-Reese Gesundheitszentrum,46a26c7f-6a29-4842-8a46-f7383822ae0a,24a2705f-28d7-4c17-b5d5-1f193dd9bd8f,f172840f-3e19-40ba-ae09-ccfba3dee81f
000ca29d-474a-4d0d-ab85-49a9da8f73e5,"Cook, Wright and Taylor Gesundheitszentrum",e52b1ade-90d8-49ae-b35f-6d3dc113b180,17af795c-ace0-444d-8895-5f81d298baca,52526d45-9c68-4df1-8a51-5e8746ba6855
815c6e5b-60e9-4b3b-84ab-3667e4b96b3e,Austin and Sons Tervisekeskus,b0fd5031-239d-44cb-96b5-d55df932fb5d,c6724b3a-b9b9-4465-bb7b-e844b51791f6,a0c30ce9-57ac-49f2-a887-a3a9e63317c3
19fe7d70-37c3-4642-b16b-4c94cb419030,Reed-Fry Gesundheitszentrum,d41a186c-7b3e-42a9-9161-633decbaa857,2914cdfb-252c-44dc-a929-723b7376ad85,8d37aebb-8fc7-47e3-a8b7-4f3dec3826bc
df8adb3d-44d2-41fb-b21c-bb2745dc482c,"Guerrero, Kim and Sutton Gesundheitszentrum",4fbf42fd-d752-4228-bd65-6488b1d300b5,88645086-c490-41be-acd3-c041737ce5bf,d4e4004b-9bde-499d-9a28-6b7a4d6d99a6
97453cdf-a2f9-42e6-90fe-ed14364cb3df,Baker and Sons Gesundheitszentrum,7bfac8ea-e496-4b50-863e-ff5d0434860e,599faaa7-4c40-4445-ac0d-8b7856d7d846,f2684ee1-5ad8-412d-bee1-a2a3024bfe48
34aa099b-3a7c-41e2-affb-de11954cf18b,Valencia-Thomas Zorg,9064c3e1-9818-476d-b07b-30a4530dd27f,6f530318-bf26-49c0-81ce-29e52c369ced,1ee1723b-4a96-46a4-a752-41027acf6bcc
cf56ba4e-b1e9-4601-b42b-a9c91b9baec7,"Obrien, Gaines and Miller Gesundheitszentrum",ab0d12b6-64d9-426c-bdc9-7740a01adeaa,b4d2581e-7bd6-4335-af55-6250d62d0c46,062d7f7a-45da-41f3-9a7e-256db6ffe12c
b0f63c9d-648e-4406-ba24-2dbdf4780a44,Fisher PLC Tervisekeskus,87586b64-71c0-45fc-800d-160ab707a4f7,d9e9fc00-c88f-49bc-84f1-5b3c45a3ca46,40d2d16f-3db6-42f4-adf2-fc823956fba9
677f2e83-4b8f-4301-884e-7e05a637e1da,"Bishop, Guerrero and Rodriguez Tervisekeskus",bc32b6c8-7559-4812-b73f-7713a8d357a3,4a3e9736-1084-48ce-aa49-9f1b41a607e0,da98da57-166a-4fc4-b513-198c67f8ab57
