entity_type,original_id,duplicate_id,variation_type,field_name
Address,c8a70639-eb11-47b3-a7a9-c3787c65c1e5,05fcc5dc-ee18-4ebd-b40c-a1303c014350,omission,postalCode
Address,d3290a4c-b5d3-4b16-a619-4cb1d71037d1,048509cf-5f2d-4d9e-8cbc-032af8d33753,omission,postalCode
Address,9cdeb3e6-0870-415c-afcd-81b5d24bace4,68d6c188-6410-4356-b32f-1eb9e2426ad9,omission,postalCode
Address,971c702d-5bf4-4c04-ac64-2b4c49b25ded,67b33c39-6181-4c3f-b23c-f9a6cdb391b4,omission,postalCode
Address,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,6c950d7a-a923-4543-a920-d0e751a82367,omission,postalCode
Address,4745dd9e-2789-4389-9f32-77fd1d77ce40,8cd37847-59b3-4ddb-8ef5-3e2680b6cc02,omission,postalCode
Address,15ace7a1-ceca-4ee3-90da-8a9516408169,ce3bf21a-8cfc-49e4-a74b-b5a7faeed6ab,omission,postalCode
Address,d3b564b0-8be0-4c3e-9c94-938160c6b3ed,c0a4d26a-05db-488b-bdd1-9e9442e3e3e2,omission,postalCode
Address,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20,6f4d1694-92c0-4b93-b823-14e105dc9a4b,omission,postalCode
Address,e38690e7-e27a-48e9-91c3-d1bcc6be6432,b26c3dc2-3ec1-4b7d-8f48-81afe2f5da18,omission,postalCode
Address,24aeba79-e4b8-4987-98ba-0f0e120d7126,ab570f13-1d62-4ef3-8a64-256d09431ddd,omission,postalCode
Address,c13e66af-3c95-40d3-be2a-ad3e82221345,fb7d7b06-a648-4450-81a9-e23d4fe26b58,omission,postalCode
Address,47b3df41-67c2-4355-8312-1af68b32992a,b9712f8b-97cb-4fe3-b6f1-9c4f33b5c0af,omission,postalCode
Address,641659c0-78b6-4daf-9afb-9565068a3c38,6be8bb8b-aacc-481b-8c8f-9e3f75b6c79c,omission,postalCode
Address,6d62e40c-638d-421a-bbc5-9e92ca1209ad,b7f78787-b75b-4704-a613-a382a2464052,omission,postalCode
Address,56525ce0-3725-4d0c-b9c4-5c38b440ffe0,2e8ce167-aebc-4c85-ad17-4ef0677fa48c,omission,postalCode
Address,4053b188-339d-48f5-9658-b1b33012ae1c,c4dfe21e-36c2-47bf-9fde-14be40f2ed80,omission,postalCode
Address,1b770deb-6f51-4a78-bea2-a33a51d11bcd,596a18c7-d694-4a25-b8a7-daaca052940e,omission,postalCode
Address,3dd0c866-0649-4ef5-8fb2-de1ea0b976c2,3efaf019-e6e7-4a47-a5d0-be9cee612c2e,omission,postalCode
Address,f4e1680b-05a0-4c72-b22a-4fc63f2de8a8,d664cb30-9d59-4532-836f-a9baaf8f38e7,omission,postalCode
Address,88239867-c5dd-467b-88f1-100bfa3222c4,a098f9f4-44ef-4000-9e3f-f7826eda5c62,omission,postalCode
Address,fd768f63-5163-4e1d-8df7-a26786fadb0e,a20cc485-66a1-4ee9-8815-aa7cf5314b56,omission,postalCode
Address,067fece7-f1ff-46dc-b45a-a79bd855fb35,0c67aa69-7725-4314-abd1-b53a041893e9,omission,postalCode
Address,8d7f7ba5-72e6-416e-a671-0ad2c1b5468a,43753e02-3a67-4cb3-8e27-9d5b034870ca,omission,postalCode
Address,4fae667b-b2e7-4e77-8fe1-cedfa5387901,de99a5d8-13cd-42cd-a929-c4edfe99949b,omission,postalCode
Address,52a33c33-037e-4725-a5a1-bdaea747795e,46a26c7f-6a29-4842-8a46-f7383822ae0a,omission,postalCode
Address,e9e7e1ba-916b-41ee-afae-feda6b325d48,e52b1ade-90d8-49ae-b35f-6d3dc113b180,omission,postalCode
Address,21d4fb7e-2258-4c89-98cc-f9b4354af1bd,b0fd5031-239d-44cb-96b5-d55df932fb5d,omission,postalCode
Address,ea31e67a-e168-4205-bc0a-94de4e245cf7,d41a186c-7b3e-42a9-9161-633decbaa857,omission,postalCode
Address,68adc28f-8463-416a-be65-6befe0efc989,4fbf42fd-d752-4228-bd65-6488b1d300b5,omission,postalCode
Address,8e5f37fa-68f4-4b51-b3fa-861390ed41f4,7bfac8ea-e496-4b50-863e-ff5d0434860e,omission,postalCode
Address,5e146c30-bd2c-4b8d-b9eb-fa326c1b6811,9064c3e1-9818-476d-b07b-30a4530dd27f,omission,postalCode
Address,d24e3104-1dd2-4234-a131-24bd01275a63,ab0d12b6-64d9-426c-bdc9-7740a01adeaa,omission,postalCode
Address,51cd2c07-a8f7-4b61-b9d2-b2de92bba701,87586b64-71c0-45fc-800d-160ab707a4f7,omission,postalCode
Address,7176d181-3e2b-4653-a258-edf30ff0952a,bc32b6c8-7559-4812-b73f-7713a8d357a3,omission,postalCode
Address,fefd320b-f5ef-4a99-810f-5ddfa2251838,cdd07f1d-4a13-412a-aa8a-27f7a314f182,omission,postalCode
Address,d6a2c379-e0c6-48a7-8748-f7ea72789d75,0e9ae091-e69b-48d9-bb7c-c5972abafc77,omission,postalCode
Address,45a16970-a11b-46b0-8823-6adf3f7512c5,d7fd53ea-64b4-449e-bbfc-97d45dd07d21,omission,postalCode
Address,20d5c16e-9611-49cf-bfbd-fd47dc7972f0,95fefea8-4d3a-4d7f-9271-75e677dbcd51,omission,postalCode
Address,039d60ba-9c99-4735-95a6-52a708fce7af,4db34161-dbaa-4de8-950c-cafa62f6850d,omission,postalCode
Address,8c3fa29f-fa4b-4bc6-9121-f31f5028361f,a79ba414-9a71-4157-8bdd-73e0d70a84af,omission,postalCode
Address,e775f27e-2ec0-42f0-9310-0ac51932263c,839358a0-d990-4594-85f0-6d3bc32b04d5,omission,postalCode
Address,94d7f681-d551-4e14-a18d-99ce20fa5cd3,0368b353-0017-4176-a110-10e889fcadbe,omission,postalCode
Address,0b9bcb7e-dba6-40f1-b5bb-cdb0bda31488,a17dd4d7-0c56-432a-8c90-08be82778f3c,omission,postalCode
Address,4c43745b-8063-4ef2-a534-28bbb20ed719,7f888d4c-31bd-425f-a7ec-146f145c7a48,omission,postalCode
Address,024e8609-4486-4d26-8fd0-92769c017e5d,3c880919-02a7-4888-806d-84700c5f803d,omission,postalCode
Address,3a0879fb-dc78-43b3-a919-b5aaf0c99bea,225aef70-8ef6-4f38-9d96-c75da2c15b7f,omission,postalCode
Address,bf2b6442-2f9f-4bf9-96b6-b5d01c87284d,cf8a41a2-d8e9-489a-b55e-db83f58a4e2b,omission,postalCode
Address,679bcce2-681d-40de-8c15-514db40eb501,789071c8-f40c-47e8-bd7e-4c6f53f55cb6,omission,postalCode
Address,52c51809-d20e-4b0e-bd87-44d801a50ef1,df10717b-0891-49b1-8e4a-c2d479ed67a6,omission,postalCode
Address,de8e3228-aa64-4f16-b035-50885a2bf7fe,6c78c142-5460-4896-a246-4544ca63e7b6,omission,postalCode
Address,f26ce972-e1da-4dd8-aa09-7bb2c187715f,cd460f8c-8cd7-4720-9b19-69f8fd329f3e,omission,postalCode
Address,5f3fa533-e28c-4c3c-ad82-5ea8dda9a02a,296c25a9-a752-4ebf-8431-a4b172456b15,omission,postalCode
Address,49ab05a8-8060-44aa-8037-fffa14b8317e,a7797896-cf95-465d-be9a-33774a8f98c0,omission,postalCode
Address,f13a2ff3-9365-4891-a460-0a02c5acc612,ec2a5981-c6c9-4521-9e21-9b0d6fd9fab0,omission,postalCode
Address,93d5e33b-bd86-4312-b506-9af5d2ebe96b,b10b440e-fb43-4306-8a9e-b7d3e696cef8,omission,postalCode
Address,70bef8fb-6598-42bf-8a18-bafe2df4a748,e931e03d-e6f8-47c3-978b-e9428cd355b9,omission,postalCode
Address,5e6cc9e4-1768-499d-acff-d101cb622873,66441406-828a-4a51-ba98-25223e3ef441,omission,postalCode
Address,e3531771-ba25-4533-805c-7d25fcb8f90c,892dbdd1-37e2-414b-a755-8f9dec134f5b,omission,postalCode
